Airline,Departure,Arrival,price,Duration,Stops,Departure Time,Arrival Time,Day of the Week,Day of the Month
Multiple airlines,Berlin (BER),Tokyo (HND),2553,920,1,09:50,08:10,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2553,980,1,08:50,08:10,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2553,1130,1,06:20,08:10,Wednesday,02/08/2023
Lufthansa,Berlin (BER),Tokyo (HND),2558,840,1,09:45,06:45,Wednesday,02/08/2023
All Nippon Airways,Berlin (BER),Tokyo (HND),2559,840,1,09:45,06:45,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2559,840,1,09:45,06:45,Wednesday,02/08/2023
All Nippon Airways,Berlin (BER),Tokyo (HND),2559,860,1,17:45,15:05,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2559,920,1,16:45,15:05,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2559,960,1,07:45,06:45,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2559,1020,1,06:45,06:45,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2559,1040,1,14:45,15:05,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2559,1100,1,13:45,15:05,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2559,1340,1,09:45,15:05,Wednesday,02/08/2023
All Nippon Airways,Berlin (BER),Tokyo (HND),2559,1340,1,09:45,15:05,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2559,1400,1,08:45,15:05,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2559,1430,1,08:15,15:05,Wednesday,02/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),790,1395,2,07:00,13:15,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),806,1290,2,08:45,13:15,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),806,1320,2,08:15,13:15,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),806,1410,2,06:45,13:15,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),822,1255,2,09:45,13:40,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),822,1315,2,08:45,13:40,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),822,1345,2,08:15,13:40,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),822,1400,2,09:45,16:05,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),822,1435,2,06:45,13:40,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),822,1460,2,08:45,16:05,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),822,1490,2,08:15,16:05,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),839,1215,2,09:50,13:05,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),839,1365,2,07:20,13:05,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),839,1425,2,06:20,13:05,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),845,1280,2,08:45,13:05,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),845,1310,2,08:15,13:05,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),845,1400,2,06:45,13:05,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),855,1190,2,19:45,22:35,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),855,1310,2,17:45,22:35,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),855,1370,2,16:45,22:35,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),870,1275,2,09:00,13:15,Thursday,03/08/2023
Qatar Airways,Berlin (BER),Tokyo (NRT),924,1135,1,16:40,18:35,Thursday,03/08/2023
Etihad Airways,Berlin (BER),Tokyo (NRT),929,1390,2,06:55,13:05,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),952,1195,2,10:45,13:40,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),998,1175,2,14:45,17:20,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),998,1235,2,13:45,17:20,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),998,1395,2,14:45,21:00,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),1005,1635,2,20:30,06:45,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),1007,1400,2,06:15,12:35,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),1021,1370,2,15:10,21:00,Thursday,03/08/2023
Turkish Airlines,Berlin (BER),Tokyo (HND),1125,1010,1,19:35,19:25,Thursday,03/08/2023
Turkish Airlines,Berlin (BER),Tokyo (HND),1125,1290,1,14:55,19:25,Thursday,03/08/2023
Turkish Airlines,Berlin (BER),Tokyo (HND),1125,1545,1,10:40,19:25,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1153,1340,2,09:45,15:05,Thursday,03/08/2023
Scandinavian Airlines,Berlin (BER),Tokyo (HND),1211,1660,1,21:15,07:55,Thursday,03/08/2023
Air France,Berlin (BER),Tokyo (HND),1253,1585,1,20:30,05:55,Thursday,03/08/2023
KLM,Berlin (BER),Tokyo (NRT),1256,1130,2,14:30,16:20,Thursday,03/08/2023
KLM,Berlin (BER),Tokyo (NRT),1256,1265,2,12:15,16:20,Thursday,03/08/2023
KLM,Berlin (BER),Tokyo (NRT),1256,1455,2,09:05,16:20,Thursday,03/08/2023
Air France,Berlin (BER),Tokyo (NRT),1274,1625,3,06:15,16:20,Thursday,03/08/2023
Japan Airlines,Berlin (BER),Tokyo (HND),1289,760,1,13:15,08:55,Thursday,03/08/2023
Japan Airlines,Berlin (BER),Tokyo (NRT),1289,1010,1,13:15,13:05,Thursday,03/08/2023
Japan Airlines,Berlin (BER),Tokyo (HND),1289,1055,1,13:15,13:50,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1301,760,1,13:15,08:55,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1313,900,1,11:45,09:45,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1313,1020,1,09:45,09:45,Thursday,03/08/2023
All Nippon Airways,Berlin (BER),Tokyo (HND),1313,1020,1,09:45,09:45,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1365,1210,2,10:45,13:55,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1365,1270,2,09:45,13:55,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1365,1330,2,08:45,13:55,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1365,1360,2,08:15,13:55,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1365,1450,2,06:45,13:55,Thursday,03/08/2023
Finnair,Berlin (BER),Tokyo (HND),1519,760,1,13:15,08:55,Thursday,03/08/2023
Finnair,Berlin (BER),Tokyo (NRT),1519,1010,1,13:15,13:05,Thursday,03/08/2023
Finnair,Berlin (BER),Tokyo (HND),1519,1020,1,08:55,08:55,Thursday,03/08/2023
Finnair,Berlin (BER),Tokyo (HND),1519,1055,1,13:15,13:50,Thursday,03/08/2023
Finnair,Berlin (BER),Tokyo (NRT),1519,1270,1,08:55,13:05,Thursday,03/08/2023
Finnair,Berlin (BER),Tokyo (HND),1519,1315,1,08:55,13:50,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),1590,1010,1,13:15,13:05,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1605,760,1,13:15,08:55,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1605,1020,1,08:55,08:55,Thursday,03/08/2023
British Airways,Berlin (BER),Tokyo (HND),1622,1025,1,07:05,07:10,Thursday,03/08/2023
Air France,Berlin (BER),Tokyo (HND),1633,1000,1,06:15,05:55,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),1696,1280,2,10:45,15:05,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),1757,1355,2,11:45,17:20,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),2019,1325,2,07:20,12:25,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),2019,1375,2,07:20,13:15,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),2019,1385,2,06:20,12:25,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),2019,1435,2,06:20,13:15,Thursday,03/08/2023
Air France,Berlin (BER),Tokyo (HND),2235,1050,1,18:00,18:30,Thursday,03/08/2023
Swiss International Air Lines,Berlin (BER),Tokyo (NRT),2550,1755,1,20:30,08:45,Thursday,03/08/2023
Austrian Airlines,Berlin (BER),Tokyo (NRT),2551,1010,1,09:00,08:50,Thursday,03/08/2023
Lufthansa,Berlin (BER),Tokyo (HND),2551,860,1,10:50,08:10,Thursday,03/08/2023
All Nippon Airways,Berlin (BER),Tokyo (HND),2559,840,1,09:45,06:45,Thursday,03/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),2559,840,1,09:45,06:45,Thursday,03/08/2023
All Nippon Airways,Berlin (BER),Tokyo (HND),2559,860,1,17:45,15:05,Thursday,03/08/2023
All Nippon Airways,Berlin (BER),Tokyo (HND),2559,1340,1,09:45,15:05,Thursday,03/08/2023
Scoot,Berlin (BER),Tokyo (NRT),571,1345,1,09:35,15:00,Friday,04/08/2023
Scoot,Berlin (BER),Tokyo (NRT),672,1610,2,09:35,19:25,Friday,04/08/2023
Scoot,Berlin (BER),Tokyo (NRT),672,2565,2,09:35,11:20,Friday,04/08/2023
Qatar Airways,Berlin (BER),Tokyo (NRT),754,1135,1,16:40,18:35,Friday,04/08/2023
Qatar Airways,Berlin (BER),Tokyo (NRT),754,1530,1,10:05,18:35,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),790,1275,2,09:00,13:15,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),806,1290,2,08:45,13:15,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),822,1195,2,10:45,13:40,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),822,1255,2,09:45,13:40,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),822,1315,2,08:45,13:40,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),822,1345,2,08:15,13:40,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),822,1375,2,07:45,13:40,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (HND),880,1190,2,19:45,22:35,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),887,1340,2,10:45,16:05,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),887,1400,2,09:45,16:05,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),935,1185,2,10:55,13:40,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),935,1330,2,10:55,16:05,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),966,1275,2,08:50,13:05,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),966,1365,2,07:20,13:05,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),972,1310,2,08:15,13:05,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),972,1340,2,07:45,13:05,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),972,1400,2,06:45,13:05,Friday,04/08/2023
Multiple airlines,Berlin (BER),Tokyo (NRT),998,1175,2,14:45,17:20,Friday,04/08/2023
